PUMA,yes,no,yes but not paying,All
00100,1111,38,439,1588
00200,1772,78,419,2269
00300,1295,64,260,1619
00401,1308,59,326,1693
00402,1175,75,258,1508
00403,1768,76,405,2249
00500,1756,107,309,2172
00600,1224,67,248,1539
00701,1069,60,359,1488
00702,1088,31,91,1210
00703,1528,53,214,1795
00704,1535,64,301,1900
00800,1231,83,326,1640
00901,1043,40,149,1232
00902,743,50,340,1133
00903,494,58,260,812
00904,911,17,119,1047
00905,903,14,78,995
00906,1310,40,93,1443
01000,1122,50,250,1422
01101,779,40,219,1038
01102,863,28,170,1061
01201,791,19,105,915
01202,931,9,107,1047
01203,822,24,94,940
01204,1268,43,266,1577
01205,815,64,350,1229
01206,724,85,144,953
01207,1422,59,187,1668
01300,1303,91,269,1663
01400,1393,56,307,1756
01500,1378,52,295,1725
01600,1129,45,276,1450
01700,1187,61,220,1468
01801,764,24,97,885
01802,1099,32,140,1271
01900,1348,67,183,1598
02001,572,41,120,733
02002,1671,50,165,1886
02100,1117,59,201,1377
02201,926,34,155,1115
02202,1159,54,197,1410
02203,1451,73,338,1862
02300,699,33,73,805
02401,868,17,174,1059
02402,1609,85,488,2182
02500,2035,105,725,2865
02600,1482,57,428,1967
02701,869,44,173,1086
02702,1060,39,150,1249
02801,1262,35,109,1406
02802,1345,56,147,1548
02901,860,29,108,997
02902,1074,40,123,1237
02903,914,35,289,1238
03001,888,36,56,980
03002,792,48,72,912
03003,703,79,440,1222
03101,845,25,53,923
03102,1139,48,142,1329
03103,1119,25,71,1215
03104,842,6,80,928
03105,1426,42,126,1594
03106,1239,103,177,1519
03107,1444,53,174,1671
03201,1334,68,70,1472
03202,1301,42,69,1412
03203,908,34,59,1001
03204,1036,27,118,1181
03205,1037,32,98,1167
03206,1000,43,111,1154
03207,956,9,75,1040
03208,1137,14,77,1228
03209,878,36,66,980
03210,890,23,43,956
03211,798,20,83,901
03212,877,16,66,959
03301,938,59,37,1034
03302,947,20,37,1004
03303,1173,48,48,1269
03304,997,16,38,1051
03305,1116,31,132,1279
03306,1011,38,69,1118
03307,749,10,59,818
03308,1024,32,53,1109
03309,920,26,69,1015
03310,849,41,151,1041
03311,899,55,64,1018
03312,837,20,93,950
03313,787,27,107,921
03701,673,30,98,801
03702,860,34,169,1063
03703,535,25,93,653
03704,873,35,194,1102
03705,852,87,253,1192
03706,515,70,163,748
03707,705,60,182,947
03708,694,54,157,905
03709,969,91,275,1335
03710,776,66,240,1082
03801,873,29,223,1125
03802,517,28,94,639
03803,600,28,185,813
03804,483,22,151,656
03805,984,34,49,1067
03806,709,36,47,792
03807,818,20,47,885
03808,575,10,29,614
03809,635,37,195,867
03810,902,24,39,965
03901,1189,35,96,1320
03902,1030,50,137,1217
03903,1244,71,187,1502
04001,883,16,426,1325
04002,825,44,208,1077
04003,715,57,380,1152
04004,1050,34,144,1228
04005,980,36,55,1071
04006,698,49,259,1006
04007,704,30,262,996
04008,1022,56,277,1355
04009,1951,83,241,2275
04010,1034,57,201,1292
04011,653,31,145,829
04012,1086,61,152,1299
04013,1176,50,164,1390
04014,896,78,691,1665
04015,1117,87,254,1458
04016,1367,45,244,1656
04017,1518,40,340,1898
04018,664,23,221,908
04101,1506,57,225,1788
04102,995,67,274,1336
04103,1720,47,367,2134
04104,1138,17,111,1266
04105,1689,42,242,1973
04106,1031,51,151,1233
04107,788,28,163,979
04108,873,10,116,999
04109,962,37,111,1110
04110,1470,54,310,1834
04111,1475,59,229,1763
04112,1876,89,390,2355
04113,1083,18,182,1283
04114,576,23,128,727
