id,yes
00100,1111
00200,1772
00300,1295
00401,1308
00402,1175
00403,1768
00500,1756
00600,1224
00701,1069
00702,1088
00703,1528
00704,1535
00800,1231
00901,1043
00902,743
00903,494
00904,911
00905,903
00906,1310
01000,1122
01101,779
01102,863
01201,791
01202,931
01203,822
01204,1268
01205,815
01206,724
01207,1422
01300,1303
01400,1393
01500,1378
01600,1129
01700,1187
01801,764
01802,1099
01900,1348
02001,572
02002,1671
02100,1117
02201,926
02202,1159
02203,1451
02300,699
02401,868
02402,1609
02500,2035
02600,1482
02701,869
02702,1060
02801,1262
02802,1345
02901,860
02902,1074
02903,914
03001,888
03002,792
03003,703
03101,845
03102,1139
03103,1119
03104,842
03105,1426
03106,1239
03107,1444
03201,1334
03202,1301
03203,908
03204,1036
03205,1037
03206,1000
03207,956
03208,1137
03209,878
03210,890
03211,798
03212,877
03301,938
03302,947
03303,1173
03304,997
03305,1116
03306,1011
03307,749
03308,1024
03309,920
03310,849
03311,899
03312,837
03313,787
03701,673
03702,860
03703,535
03704,873
03705,852
03706,515
03707,705
03708,694
03709,969
03710,776
03801,873
03802,517
03803,600
03804,483
03805,984
03806,709
03807,818
03808,575
03809,635
03810,902
03901,1189
03902,1030
03903,1244
04001,883
04002,825
04003,715
04004,1050
04005,980
04006,698
04007,704
04008,1022
04009,1951
04010,1034
04011,653
04012,1086
04013,1176
04014,896
04015,1117
04016,1367
04017,1518
04018,664
04101,1506
04102,995
04103,1720
04104,1138
04105,1689
04106,1031
04107,788
04108,873
04109,962
04110,1470
04111,1475
04112,1876
04113,1083
04114,576
